// user:DESKTOP-0HM15HR_628165; date:2020-10-14 12:06:00.623; sample:8192; 
time[ms]; amplitude[g]; 
32.715; -0.37648; 
32.776; -0.37425; 
32.837; -0.31081; 
32.898; -0.31261; 
32.959; -0.34548; 
33.02; -0.34491; 
33.081; -0.28151; 
33.142; -0.18007; 
33.203; -0.1132; 
33.264; -0.06725; 
33.325; -0.0792; 
33.386; -0.16989; 
33.447; -0.25672; 
33.508; -0.35081; 
33.569; -0.43491; 
33.63; -0.43193; 
33.691; -0.35972; 
33.752; -0.23022; 
33.813; -0.12043; 
33.875; -0.11418; 
33.936; -0.12141; 
33.997; -0.1553; 
34.058; -0.25422; 
34.119; -0.33051; 
34.18; -0.40347; 
34.241; -0.41487; 
34.302; -0.30231; 
34.363; -0.17656; 
34.424; -0.08679; 
34.485; -0.07963; 
34.546; -0.12173; 
34.607; -0.15393; 
34.668; -0.24419; 
34.729; -0.32764; 
34.79; -0.40314; 
34.851; -0.50271; 
34.912; -0.50355; 
34.973; -0.47512; 
35.034; -0.42949; 
35.095; -0.30167; 
35.156; -0.22018; 
35.217; -0.15028; 
35.278; -0.09782; 
35.339; -0.12915; 
35.4; -0.11218; 
35.461; -0.13915; 
35.522; -0.24858; 
35.583; -0.28657; 
35.645; -0.32339; 
35.706; -0.32212; 
35.767; -0.25189; 
35.828; -0.22026; 
35.889; -0.15769; 
35.95; -0.09479; 
36.011; -0.09598; 
36.072; -0.1457; 
36.133; -0.26663; 
36.194; -0.34979; 
36.255; -0.38065; 
36.316; -0.40144; 
36.377; -0.37133; 
36.438; -0.33036; 
36.499; -0.24458; 
36.56; -0.1903; 
36.621; -0.26059; 
36.682; -0.30894; 
36.743; -0.3262; 
36.804; -0.32182; 
36.865; -0.28192; 
36.926; -0.28769; 
36.987; -0.30382; 
37.048; -0.34255; 
37.109; -0.37501; 
37.17; -0.33316; 
37.231; -0.30012; 
37.292; -0.29411; 
37.354; -0.33036; 
37.415; -0.33546; 
37.476; -0.20733; 
37.537; -0.10218; 
37.598; -0.07556; 
37.659; -0.08879; 
37.72; -0.15256; 
37.781; -0.19032; 
37.842; -0.23883; 
37.903; -0.28549; 
37.964; -0.18627; 
38.025; -0.0118; 
38.086; 0.11273; 
38.147; 0.19276; 
38.208; 0.23631; 
38.269; 0.24704; 
38.33; 0.19735; 
38.391; 0.08578; 
38.452; 0.0361; 
38.513; 0.0785; 
38.574; 0.12521; 
38.635; 0.17423; 
38.696; 0.23542; 
38.757; 0.32109; 
38.818; 0.41592; 
38.879; 0.42438; 
38.94; 0.36693; 
39.001; 0.34236; 
39.063; 0.34671; 
39.124; 0.31864; 
39.185; 0.28502; 
39.246; 0.30529; 
39.307; 0.34375; 
39.368; 0.40586; 
39.429; 0.48924; 
39.49; 0.55172; 
39.551; 0.61761; 
39.612; 0.63861; 
39.673; 0.61723; 
39.734; 0.59513; 
39.795; 0.52414; 
39.856; 0.47393; 
39.917; 0.46587; 
39.978; 0.43445; 
40.039; 0.39343; 
40.1; 0.35329; 
40.161; 0.38868; 
40.222; 0.50329; 
40.283; 0.61038; 
40.344; 0.68167; 
40.405; 0.66327; 
40.466; 0.60654; 
40.527; 0.57611; 
40.588; 0.53271; 
40.649; 0.50401; 
40.71; 0.51155; 
40.771; 0.56915; 
40.833; 0.68145; 
40.894; 0.81285; 
40.955; 0.91234; 
41.016; 0.88425; 
41.077; 0.76289; 
41.138; 0.65824; 
41.199; 0.59022; 
41.26; 0.55893; 
41.321; 0.55602; 
41.382; 0.58446; 
41.443; 0.605; 
41.504; 0.58854; 
41.565; 0.58912; 
41.626; 0.60062; 
41.687; 0.6063; 
41.748; 0.61664; 
41.809; 0.64547; 
41.87; 0.73838; 
41.931; 0.86007; 
41.992; 0.9072; 
42.053; 0.8096; 
42.114; 0.62444; 
42.175; 0.49424; 
42.236; 0.4073; 
42.297; 0.32213; 
42.358; 0.31612; 
42.419; 0.40642; 
42.48; 0.56813; 
42.542; 0.73259; 
42.603; 0.76883; 
42.664; 0.69385; 
42.725; 0.5938; 
42.786; 0.45842; 
