,Nombre,diagnostico,Id_Estado_Activo,time,machine
1283,S6-Ventilador Extracción 62 M1," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado. ",1.0,2019-10-16,S6-62-M1
1065,S4-Ventilador 79 M1," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S4-79-M1
1214,S6-Ventilador 77 M1," Motor: Activo en buen estado.
 Ventilador: Se mantiene los niveles de vibración por encima de la normalidad.",1.0,2019-10-16,S6-77-M1
979,S4-Ventilador 71 M2,"  Motor: Se detectan síntomas de una degradación avanzada de rodamientos.
  Ventilador: Activo en buen estado.",3.0,2019-10-16,S4-71-M2
909,S5-Ventilador 75 M1," Motor: Activo en buen estado. 
 Ventilador: Activo en buen estado. ",1.0,2019-10-16,S5-75-M1
1273,S6-Ventilador 66 M2," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S6-66-M2
1219,S6-Ventilador 70 M2," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S6-70-M2
485,S4-Ventilador Extracción 63 M1," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado. ",1.0,2019-10-16,S4-63-M1
1224,S6-Ventilador 68 M2," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S6-68-M2
1278,S6-Ventilador 69 M1," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S6-69-M1
520,S5-Ventilador Extracción 62 M1," Motor: Activo en buen estado. 
 Ventilador: Se detectan síntomas de una degradación mecánica incipiente de rodamientos. ",1.0,2019-10-16,S5-62-M1
1229,S6-Ventilador 74 M2," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S6-74-M2
1008,S4-Ventilador 73 M2," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado. ",1.0,2019-10-16,S4-73-M2
1034,S4-Ventilador 75 M1," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S4-75-M1
914,S5-Ventilador 70 M1," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado. Se detecta una mejoría en el comportamiento",1.0,2019-10-16,S5-70-M1
986,S4-Ventilador 78 M2," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S4-78-M2
1113,S4-Ventilador 67 M1," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S4-67-M1
1118,S4-Ventilador 67 M2," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado. ",1.0,2019-10-16,S4-67-M2
903,S5-Ventilador 69 M2," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S5-69-M2
1013,S4-Ventilador 78 M1," Motor: Activo en buen estado.
 Ventilador: Degradación de las condiciones mecánicas en un estado inicial. ",2.0,2019-10-16,S4-78-M1
528,S5-Ventilador Extracción 61 M1," Motor: Activo en buen estado. 
 Ventilador: Activo en buen estado. ",1.0,2019-10-16,S5-61-M1
1245,S6-Ventilador Extracción 60 M1," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S6-60-M1
