machine,point,time,num_peaks,a_range,b_range,c_range,d_range,e_range,f_range,g_range,h_range,i_range,j_range
S4-73-M2,M-LA-A,2020-10-13 16:03:44.591,1.0,0.10021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4-73-M2,M-LA-A,2021-04-07 10:02:43.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-M39,V-LA-H,2019-07-16 10:49:24.186,3.0,0.0,0.0,0.0,0.10373,0.0,0.16735,0.0,0.0,0.0,0.0
S1-M39,V-LA-H,2020-10-14 11:54:02.593,3.0,0.0,0.0,0.0,0.10688,0.0,0.20999,0.0,0.0,0.0,0.0
S1-M39,V-LA-H,2020-02-11 09:47:10.393,7.0,0.0,0.0,0.10885,0.39764999999999995,0.34616,0.0,0.0,0.0,0.0,0.0
S1-M39,V-LA-H,2020-04-28 10:32:46.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-M39,V-LA-H,2020-07-09 08:53:27.874,3.0,0.0,0.0,0.0,0.0,0.0,0.09879,0.0,0.18731,0.0,0.0
S1-M39,V-LA-H,2021-04-06 16:38:11.041,4.0,0.0,0.0,0.0,0.0,0.0,0.19025,0.0,0.18974999999999997,0.0,0.0
S3-M09,V-LOA-H,2019-07-16 11:58:23.314,2.0,0.0,0.0,0.0,0.0,0.0,0.23771,0.0,0.0,0.0,0.0
S3-M09,V-LOA-H,2020-10-14 08:18:37.195,4.0,0.0,0.0,0.0,0.0,0.0,0.25641,0.20925,0.0,0.0,0.0
S3-M09,V-LOA-H,2020-02-11 12:18:49.615,1.0,0.0,0.0,0.0,0.09388,0.0,0.0,0.0,0.0,0.0,0.0
S3-M09,V-LOA-H,2020-04-28 16:38:00.814,6.0,0.0,0.0,0.08266,0.51303,0.24436,0.08665,0.0,0.0,0.0,0.0
S3-M09,V-LOA-H,2020-07-09 10:41:33.554,6.0,0.0,0.0,0.0,0.08914,0.0,0.25612,0.19774999999999998,0.0,0.0,0.0
S3-M09,V-LOA-H,2021-04-06 10:53:00.194,5.0,0.0,0.0,0.0,0.12201,0.0,0.2539,0.22369,0.0,0.0,0.0
S4-73-M2,M-LA-H,2019-10-15 17:01:58.195,1.0,0.08908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4-73-M2,M-LA-H,2020-10-13 16:03:22.872,1.0,0.12466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4-73-M2,M-LA-H,2021-04-07 10:02:25.314,1.0,0.10487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4-73-M2,M-LA-V,2019-10-15 17:02:09.875,1.0,0.0,0.09287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4-73-M2,M-LA-V,2020-10-13 16:03:33.471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4-73-M2,M-LA-V,2021-04-07 10:02:33.694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-M39,V-LA-V,2019-07-16 10:49:36.885,3.0,0.0,0.0,0.0,0.12342,0.16839,0.14063,0.0,0.0,0.0,0.0
S1-M39,V-LA-V,2020-10-14 11:54:14.633,4.0,0.0,0.0,0.0,0.31555999999999995,0.0,0.09662,0.0,0.0,0.0,0.0
S1-M39,V-LA-V,2020-02-11 09:47:23.394,5.0,0.0,0.15062,0.0,0.12612,0.13157,0.11076,0.0,0.0,0.0,0.0
S1-M39,V-LA-V,2020-04-28 10:32:56.605,4.0,0.08305,0.0,0.0,0.17463,0.0,0.112,0.0,0.0,0.0,0.0
S1-M39,V-LA-V,2020-07-09 08:53:37.984,3.0,0.08335,0.1696,0.0,0.15861,0.0,0.0,0.0,0.0,0.0,0.0
S1-M39,V-LA-V,2021-04-06 16:38:21.361,4.0,0.0,0.19861,0.0,0.22693999999999998,0.0,0.13111,0.0,0.0,0.0,0.0
S3-M09,V-LOA-V,2019-07-16 11:58:35.076,4.0,0.0,0.0,0.0,0.0,0.0,0.80871,0.0,0.0,0.0,0.0
S3-M09,V-LOA-V,2020-10-14 08:18:46.545,4.0,0.0,0.0,0.0,0.0,0.0,0.0861,0.11695,0.08279,0.0,0.08937
S3-M09,V-LOA-V,2020-02-11 12:19:00.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3-M09,V-LOA-V,2020-04-28 16:38:12.394,8.0,0.0,0.08207,0.19284,0.08205,0.0903,0.47119,0.09996,0.0,0.0,0.0
S3-M09,V-LOA-V,2020-07-09 10:41:42.474,1.0,0.10105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3-M09,V-LOA-V,2021-04-06 10:53:09.812,9.0,0.0,0.0,0.0,0.09913,0.0,0.0,0.54825,0.20459,0.08328,0.0
S4-73-M2,M-LOA-H,2019-10-15 17:01:33.505,1.0,0.11694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4-73-M2,M-LOA-H,2020-10-13 16:03:01.462,1.0,0.12963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4-73-M2,M-LOA-H,2021-04-07 10:02:03.354,1.0,0.1744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4-73-M2,M-LOA-V,2019-10-15 17:01:45.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4-73-M2,M-LOA-V,2020-10-13 16:03:11.672,1.0,0.08162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4-73-M2,M-LOA-V,2021-04-07 10:02:13.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-M39,V-LOA-A,2019-07-16 10:50:25.565,1.0,0.0,0.0,0.0,0.0,0.09736,0.0,0.0,0.0,0.0,0.0
S1-M39,V-LOA-A,2020-10-14 11:54:44.094,2.0,0.0,0.0,0.0,0.1049,0.09909,0.0,0.0,0.0,0.0,0.0
S1-M39,V-LOA-A,2020-02-11 09:48:11.554,2.0,0.0,0.0,0.0,0.43967,0.10138,0.0,0.0,0.0,0.0,0.0
S1-M39,V-LOA-A,2020-04-28 10:33:29.934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-M39,V-LOA-A,2020-07-09 08:54:19.675,1.0,0.0,0.0,0.0,0.08962,0.0,0.0,0.0,0.0,0.0,0.0
S1-M39,V-LOA-A,2021-04-06 16:38:54.750,3.0,0.0,0.0,0.0,0.14381,0.23007,0.0,0.0,0.0,0.0,0.0
S4-73-M2,V-LA-H,2019-10-15 17:02:30.325,10.0,0.0,0.0,0.0,0.19576,0.0,0.7201299999999999,0.20595000000000002,0.0,0.0,0.0
S4-73-M2,V-LA-H,2020-10-13 16:03:53.822,6.0,0.08493,0.0,0.0,0.0837,0.0,0.37418,0.08039,0.0,0.0,0.0
S4-73-M2,V-LA-H,2021-04-07 10:02:54.455,5.0,0.11304,0.0,0.0,0.0,0.0,0.26048,0.0,0.0,0.09071,0.08978
S3-M11,M-LA-A,2019-11-26 17:17:30.777,1.0,0.0,0.0,0.15717,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3-M11,M-LA-A,2019-07-16 11:59:49.965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3-M11,M-LA-A,2020-10-14 08:19:56.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3-M11,M-LA-A,2020-02-11 12:20:11.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3-M11,M-LA-A,2020-04-28 16:39:24.117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3-M11,M-LA-A,2020-07-09 10:42:50.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3-M11,M-LA-A,2021-04-06 10:54:17.954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-M39,V-LOA-H,2019-07-16 10:49:51.666,4.0,0.0,0.09453,0.0,0.09063,0.1488,0.08255,0.0,0.0,0.0,0.0
S1-M39,V-LOA-H,2020-10-14 11:54:25.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-M39,V-LOA-H,2020-02-11 09:47:37.115,4.0,0.0,0.0,0.0,0.45476,0.3517,0.0,0.0,0.0,0.0,0.0
S1-M39,V-LOA-H,2020-04-28 10:33:06.394,2.0,0.0,0.0,0.0,0.18379,0.0,0.0,0.0,0.0,0.0,0.0
S1-M39,V-LOA-H,2020-07-09 08:54:01.167,4.0,0.0,0.0,0.0,0.24364999999999998,0.20416,0.0,0.0,0.0,0.0,0.0
S1-M39,V-LOA-H,2021-04-06 16:38:33.511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4-73-M2,V-LA-V,2019-10-15 17:02:41.415,6.0,0.29533,0.0,0.0,0.25022,0.0,0.57582,0.0,0.0,0.0,0.0
S4-73-M2,V-LA-V,2020-10-13 16:04:03.842,9.0,0.29427000000000003,0.0,0.0,0.5068699999999999,0.09142,0.44057,0.0,0.0,0.0,0.0
