// user:DESKTOP-0HM15HR_628165; date:2020-10-14 11:45:19.203; sample:3201; 
frequency[Hz]; amplitude[g RMS]; phase[°]; 
1218; 0.00639; 0.0; 
1220; 0.00473; 0.0; 
1222; 0.00442; 0.0; 
1224; 0.00836; 0.0; 
1226; 0.01144; 0.0; 
1228; 0.00822; 0.0; 
1230; 0.00236; 0.0; 
1232; 0.00426; 0.0; 
1234; 0.00746; 0.0; 
1236; 0.00909; 0.0; 
1238; 0.00379; 0.0; 
1240; 0.00616; 0.0; 
1242; 0.01122; 0.0; 
1244; 0.00702; 0.0; 
1246; 0.00447; 0.0; 
1248; 0.01141; 0.0; 
1250; 0.01826; 0.0; 
1252; 0.01202; 0.0; 
1254; 0.00472; 0.0; 
1256; 0.00637; 0.0; 
1258; 0.01228; 0.0; 
1260; 0.02208; 0.0; 
1262; 0.01153; 0.0; 
1264; 0.00907; 0.0; 
1266; 0.00512; 0.0; 
1268; 0.00546; 0.0; 
1270; 0.00637; 0.0; 
1272; 0.0078; 0.0; 
1274; 0.00583; 0.0; 
1276; 0.00092; 0.0; 
1278; 0.00167; 0.0; 
1280; 0.00266; 0.0; 
1282; 0.00153; 0.0; 
1284; 0.00555; 0.0; 
1286; 0.00826; 0.0; 
1288; 0.00629; 0.0; 
1290; 0.01263; 0.0; 
1292; 0.01932; 0.0; 
1294; 0.02459; 0.0; 
1296; 0.0198; 0.0; 
1298; 0.01169; 0.0; 
1300; 0.00758; 0.0; 
1302; 0.00617; 0.0; 
1304; 0.00666; 0.0; 
1306; 0.00556; 0.0; 
1308; 0.00499; 0.0; 
1310; 0.00915; 0.0; 
1312; 0.01495; 0.0; 
1314; 0.009; 0.0; 
1316; 0.01021; 0.0; 
1318; 0.01257; 0.0; 
1320; 0.01344; 0.0; 
1322; 0.01501; 0.0; 
1324; 0.01308; 0.0; 
1326; 0.00986; 0.0; 
1328; 0.0152; 0.0; 
1330; 0.00799; 0.0; 
1332; 0.01069; 0.0; 
1334; 0.01686; 0.0; 
1336; 0.00841; 0.0; 
1338; 0.00905; 0.0; 
1340; 0.01069; 0.0; 
1342; 0.00707; 0.0; 
1344; 0.0062; 0.0; 
1346; 0.00677; 0.0; 
1348; 0.0058; 0.0; 
1350; 0.01245; 0.0; 
1352; 0.00816; 0.0; 
1354; 0.00982; 0.0; 
1356; 0.01048; 0.0; 
1358; 0.00917; 0.0; 
1360; 0.01976; 0.0; 
1362; 0.01519; 0.0; 
1364; 0.00832; 0.0; 
1366; 0.00985; 0.0; 
1368; 0.00835; 0.0; 
1370; 0.00938; 0.0; 
1372; 0.00624; 0.0; 
1374; 0.00641; 0.0; 
1376; 0.0041; 0.0; 
1378; 0.0093; 0.0; 
1380; 0.00768; 0.0; 
1382; 0.00285; 0.0; 
1384; 0.00519; 0.0; 
1386; 0.00907; 0.0; 
1388; 0.00492; 0.0; 
1390; 0.00464; 0.0; 
1392; 0.00918; 0.0; 
1394; 0.01112; 0.0; 
1396; 0.01333; 0.0; 
1398; 0.00736; 0.0; 
1400; 0.00626; 0.0; 
1402; 0.01124; 0.0; 
1404; 0.01563; 0.0; 
1406; 0.01453; 0.0; 
1408; 0.01173; 0.0; 
1410; 0.01038; 0.0; 
1412; 0.0125; 0.0; 
1414; 0.00532; 0.0; 
1416; 0.00767; 0.0; 
1418; 0.01118; 0.0; 
1420; 0.00851; 0.0; 
1422; 0.00624; 0.0; 
1424; 0.00654; 0.0; 
1426; 0.00801; 0.0; 
1428; 0.00681; 0.0; 
1430; 0.00594; 0.0; 
1432; 0.00717; 0.0; 
1434; 0.00724; 0.0; 
1436; 0.00545; 0.0; 
1438; 0.00432; 0.0; 
1440; 0.00387; 0.0; 
1442; 0.00588; 0.0; 
1444; 0.0093; 0.0; 
1446; 0.00485; 0.0; 
1448; 0.0092; 0.0; 
1450; 0.00766; 0.0; 
1452; 0.00452; 0.0; 
1454; 0.00919; 0.0; 
1456; 0.00764; 0.0; 
1458; 0.00812; 0.0; 
1460; 0.01128; 0.0; 
1462; 0.00855; 0.0; 
1464; 0.0095; 0.0; 
1466; 0.00995; 0.0; 
1468; 0.00841; 0.0; 
1470; 0.0063; 0.0; 
