// user:DESKTOP-0HM15HR_628165; date:2020-02-11 10:02:56.433; sample:8192; 
time[ms]; amplitude[g]; 
40.1; 0.00441; 
40.161; -0.09558; 
40.222; -0.20135; 
40.283; -0.33575; 
40.344; -0.45393; 
40.405; -0.49453; 
40.466; -0.51932; 
40.527; -0.48121; 
40.588; -0.37623; 
40.649; -0.29541; 
40.71; -0.25151; 
40.771; -0.24539; 
40.833; -0.28667; 
40.894; -0.36423; 
40.955; -0.40912; 
41.016; -0.4266; 
41.077; -0.45921; 
41.138; -0.40634; 
41.199; -0.30115; 
41.26; -0.24674; 
41.321; -0.17231; 
41.382; -0.06674; 
41.443; -0.01097; 
41.504; -0.04471; 
41.565; -0.11136; 
41.626; -0.18275; 
41.687; -0.32296; 
41.748; -0.45374; 
41.809; -0.52498; 
41.87; -0.60554; 
41.931; -0.64451; 
41.992; -0.62838; 
42.053; -0.61581; 
42.114; -0.62982; 
42.175; -0.65694; 
42.236; -0.63853; 
42.297; -0.63122; 
42.358; -0.68701; 
42.419; -0.72292; 
42.48; -0.71143; 
42.542; -0.65932; 
42.603; -0.59056; 
42.664; -0.53331; 
42.725; -0.45944; 
42.786; -0.38107; 
42.847; -0.33238; 
42.908; -0.3414; 
42.969; -0.39486; 
43.03; -0.43564; 
43.091; -0.48063; 
43.152; -0.54277; 
43.213; -0.60002; 
43.274; -0.62343; 
43.335; -0.57181; 
43.396; -0.49826; 
43.457; -0.4376; 
43.518; -0.36031; 
43.579; -0.29566; 
43.64; -0.25196; 
43.701; -0.22957; 
43.762; -0.236; 
43.823; -0.25959; 
43.884; -0.32597; 
43.945; -0.37984; 
44.006; -0.35657; 
44.067; -0.33141; 
44.128; -0.32761; 
44.189; -0.3041; 
44.25; -0.26545; 
44.312; -0.22865; 
44.373; -0.23263; 
44.434; -0.26689; 
44.495; -0.27512; 
44.556; -0.26677; 
44.617; -0.26454; 
44.678; -0.25381; 
44.739; -0.22351; 
44.8; -0.19628; 
44.861; -0.19195; 
44.922; -0.1706; 
44.983; -0.11967; 
45.044; -0.1057; 
45.105; -0.1334; 
45.166; -0.15393; 
45.227; -0.18552; 
45.288; -0.23477; 
45.349; -0.29106; 
45.41; -0.376; 
45.471; -0.45603; 
45.532; -0.4968; 
45.593; -0.50063; 
45.654; -0.47623; 
45.715; -0.46194; 
45.776; -0.44133; 
45.837; -0.41063; 
45.898; -0.42185; 
45.959; -0.45678; 
46.021; -0.51571; 
46.082; -0.61444; 
46.143; -0.7001; 
46.204; -0.71502; 
46.265; -0.63737; 
46.326; -0.51589; 
46.387; -0.36598; 
46.448; -0.18613; 
46.509; -0.05025; 
46.57; 0.06362; 
46.631; 0.17792; 
46.692; 0.22008; 
46.753; 0.18837; 
46.814; 0.10547; 
46.875; 0.0135; 
46.936; -0.04234; 
46.997; -0.05454; 
47.058; 0.00284; 
47.119; 0.08444; 
47.18; 0.15587; 
47.241; 0.23138; 
47.302; 0.25075; 
47.363; 0.22539; 
47.424; 0.21045; 
47.485; 0.17412; 
47.546; 0.08944; 
47.607; -0.02307; 
47.668; -0.09202; 
47.729; -0.09105; 
47.791; -0.06096; 
47.852; -0.00011; 
47.913; 0.07393; 
47.974; 0.12079; 
48.035; 0.13291; 
48.096; 0.10953; 
48.157; 0.05996; 
48.218; -0.02629; 
48.279; -0.14852; 
48.34; -0.25245; 
48.401; -0.3024; 
48.462; -0.30852; 
48.523; -0.27461; 
48.584; -0.18747; 
48.645; -0.08241; 
48.706; -0.02334; 
48.767; -0.02564; 
48.828; -0.08134; 
48.889; -0.1782; 
48.95; -0.28349; 
49.011; -0.37071; 
49.072; -0.45118; 
49.133; -0.50916; 
49.194; -0.48847; 
49.255; -0.4166; 
49.316; -0.35316; 
49.377; -0.30258; 
49.438; -0.25557; 
49.5; -0.18159; 
49.561; -0.06866; 
49.622; 0.07227; 
49.683; 0.20462; 
49.744; 0.25574; 
49.805; 0.24508; 
49.866; 0.22165; 
49.927; 0.18296; 
49.988; 0.15219; 
50.049; 0.13323; 
50.11; 0.12775; 
50.171; 0.14224; 
50.232; 0.16776; 
50.293; 0.23431; 
50.354; 0.31273; 
50.415; 0.35892; 
50.476; 0.42238; 
50.537; 0.50007; 
50.598; 0.5568; 
50.659; 0.61004; 
50.72; 0.64584; 
50.781; 0.63756; 
50.842; 0.57722; 
50.903; 0.47101; 
50.964; 0.33956; 
51.025; 0.19216; 
51.086; 0.06647; 
51.147; -0.00953; 
51.208; -0.03749; 
51.27; -0.00305; 
51.331; 0.06981; 
51.392; 0.18262; 
51.453; 0.33535; 
51.514; 0.44374; 
51.575; 0.50239; 
51.636; 0.55145; 
51.697; 0.56918; 
51.758; 0.52433; 
51.819; 0.4213; 
51.88; 0.32099; 
51.941; 0.23044; 
52.002; 0.15167; 
52.063; 0.12846; 
52.124; 0.11887; 
52.185; 0.1046; 
52.246; 0.1052; 
52.307; 0.12727; 
52.368; 0.16759; 
52.429; 0.14816; 
52.49; 0.09919; 
52.551; 0.09588; 
52.612; 0.08328; 
52.673; 0.07468; 
52.734; 0.12728; 
52.795; 0.24558; 
52.856; 0.3906; 
52.917; 0.52486; 
52.979; 0.69392; 
53.04; 0.84091; 
53.101; 0.88776; 
53.162; 0.88583; 
53.223; 0.80717; 
53.284; 0.65454; 
53.345; 0.50226; 
53.406; 0.35249; 
53.467; 0.22075; 
53.528; 0.12025; 
53.589; 0.08809; 
53.65; 0.13515; 
53.711; 0.19329; 
53.772; 0.28533; 
53.833; 0.3964; 
53.894; 0.44524; 
53.955; 0.44669; 
54.016; 0.40304; 
54.077; 0.31793; 
54.138; 0.21886; 
54.199; 0.12913; 
54.26; 0.10398; 
54.321; 0.13182; 
54.382; 0.18471; 
54.443; 0.2578; 
54.504; 0.31261; 
54.565; 0.34128; 
54.626; 0.32715; 
54.688; 0.27911; 
54.749; 0.22069; 
