machine,point,time,max_mms,rms_mms
S2-M11,V-LOA-V,2021-04-06 12:11:47.904,6.0299,2.9849005304535
S2-M11,V-LOA-V,2020-04-28 15:34:17.653,5.3356,2.2760100457964443
S2-M11,V-LOA-V,2020-02-11 10:20:14.833,9.2449,3.8115221829293446
S2-M11,V-LOA-V,2020-10-14 16:49:30.927,4.3473,1.4841990529319087
S3-M39,V-LA-H,2021-04-06 11:33:52.824,15.841,5.4328082901063866
S3-M39,V-LA-H,2020-07-09 11:15:42.254,14.744,5.934695251188866
S3-M39,V-LA-H,2020-10-14 08:55:16.215,11.887,4.5332634054657
S3-M39,V-LA-H,2020-02-11 12:57:11.924,12.165,4.586009951296777
S3-M39,V-LA-H,2020-04-28 17:23:56.894,43.899,11.163255275303472
S3-M39,V-LA-H,2019-07-16 12:09:59.596,11.302,4.078498142391548
S1-M11,M-LOA-H,2020-04-28 09:43:36.075,6.0491,1.8064433069283048
S1-M11,M-LOA-H,2021-04-06 15:57:53.361,4.7865,1.4494436284093462
S1-M11,M-LOA-H,2020-10-14 11:18:03.504,3.7758,1.2793664580074817
S1-M11,M-LOA-H,2020-07-09 08:16:36.905,4.3225,1.5115706427056996
S1-M11,M-LOA-H,2020-02-11 08:47:56.774,5.2054,2.042012352063733
S1-M11,M-LOA-H,2019-07-16 09:55:10.645,3.617,1.214140216164331
S5-66-M2,V-LOA-A,2019-10-15 16:32:59.122,1.7219,0.6120196952637013
S5-66-M2,V-LOA-A,2021-04-07 11:18:53.614,1.6806,0.5841367302922648
S5-66-M2,V-LOA-A,2020-10-15 09:39:49.685,2.4933,0.7997524741496864
S4-71-M2,V-LA-V,2020-02-11 13:20:12.085,3.1659,1.0451945509745375
S4-71-M2,V-LA-V,2019-12-03 16:54:08.196,6.7232,2.2615496494760756
S4-71-M2,V-LA-V,2020-10-13 15:57:02.012,6.1018,1.6623702052431202
S4-71-M2,V-LA-V,2021-04-07 09:55:40.824,4.4899,1.4103474940884575
S4-71-M2,V-LA-V,2019-10-15 16:53:48.155,6.4928,2.1561937418394495
S2-M11,M-LA-H,2020-04-28 15:33:16.704,5.9053,1.9238184250192265
S2-M11,M-LA-H,2021-04-06 12:10:49.014,8.9928,2.6753941976462037
S2-M11,M-LA-H,2019-07-16 09:59:33.865,5.5644,1.795479836481374
S2-M11,M-LA-H,2020-10-14 16:48:26.594,7.0843,2.7972542018305675
