time,machine,point,max_mms,rms_mms,max_acc,med_acc,rms_acc,kur_acc,cf_acc,num_peaks,a_range,b_range,c_range,d_range,e_range,f_range,g_range,h_range,i_range,j_range,max_dem,rms_dem,Nombre,diagnostico,Id_Estado_Activo,Id_Estado_Activo_fixed,prev_diag,pct_change_acc,mean_mms_prev,element_type,labeled
2020-10-13 16:11:58.491,S4-75-M2,M-LA-A,13.417,6.616065325800278,0.56566,0.411953539849023,0.1975179152882144,0.9675924082976244,2.863841485844966,1.0,0.16689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2713,0.1109126076374372,S4-Ventilador 75 M2,Motor: Activo en buen estado.  Ventilador: Activo en buen estado.,1.0,1,0,0.09607037668578533,1.3065181923935405,M,True
2020-10-13 16:12:07.801,S4-75-M2,V-LA-H,14.473,6.607351404737206,1.8627,0.6206258713330993,0.4827824054514884,0.0096996878591788,3.85825990957156,4.0,0.16141,0.0,0.0,0.11643,0.0,0.24101,0.0,0.0,0.0,0.0,1.9162,0.8368001419466109,S4-Ventilador 75 M2,Motor: Activo en buen estado.  Ventilador: Activo en buen estado.,1.0,1,0,-0.27280890103455013,0.8752219458091388,V,True
2020-10-13 16:12:17.162,S4-75-M2,V-LA-V,15.284,6.102240806651373,2.7258,0.7701833523520449,0.7527161940692839,0.228812570947662,3.621285182219825,6.0,0.5052099999999999,0.0,0.0,0.50204,0.09379,0.0,0.0,0.0,0.0,0.0,2.876,0.987100904758588,S4-Ventilador 75 M2,Motor: Activo en buen estado.  Ventilador: Activo en buen estado.,1.0,1,0,0.053001622498647816,0.8199500050743938,V,True
2020-10-13 16:13:12.081,S4-76-M1,M-LOA-H,8.5076,2.41913666934808,0.55894,0.3610659251368396,0.1635574304909778,0.0676746799839573,3.4173928895931898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4626,0.1754995502819461,S4-Ventilador 76 M1,Motor: Activo en buen estado.  Ventilador: Se mantienen los síntomas de una posible degradación de los rodamientos del ventilador.,2.0,1,1,0.6284707047752236,0.8604155680419041,M,True
2020-10-13 16:13:21.092,S4-76-M1,M-LOA-V,7.034,2.534884371318254,0.60596,0.3718529438049486,0.1726764675813472,0.085274478083182,3.509221658791083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50793,0.1931251555175747,S4-Ventilador 76 M1,Motor: Activo en buen estado.  Ventilador: Se mantienen los síntomas de una posible degradación de los rodamientos del ventilador.,2.0,1,1,0.8989658414290194,0.6767673777875425,M,True
2020-10-13 16:13:30.906,S4-76-M1,M-LA-H,7.0816,2.461796955724448,0.55917,0.3341083651425134,0.1384551217913456,0.0854930770855699,4.038637161019434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71637,0.145187531688446,S4-Ventilador 76 M1,Motor: Activo en buen estado.  Ventilador: Se mantienen los síntomas de una posible degradación de los rodamientos del ventilador.,2.0,1,1,0.36067648132376195,0.6980466015517441,M,True
2020-10-13 16:13:40.431,S4-76-M1,M-LA-V,6.3377,2.4785913192144307,1.0547,0.4357286223936257,0.2402331969903282,0.339053412859458,4.390317463254099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4373,0.3740284789017207,S4-Ventilador 76 M1,Motor: Activo en buen estado.  Ventilador: Se mantienen los síntomas de una posible degradación de los rodamientos del ventilador.,2.0,1,1,0.8507405067733556,0.653678503690014,M,True
2020-10-13 16:13:49.732,S4-76-M1,M-LA-A,5.84,1.50894267957087,0.34837,0.2688765940031493,0.0904812050851967,0.0200615778650727,3.8501918677141433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47661,0.1160595283525932,S4-Ventilador 76 M1,Motor: Activo en buen estado.  Ventilador: Se mantienen los síntomas de una posible degradación de los rodamientos del ventilador.,2.0,1,1,-0.22666933049191973,0.8535332349861038,M,True
2020-10-13 16:13:59.956,S4-76-M1,V-LA-H,6.3852,2.0962744165110747,5.8545,1.1104678590426635,1.5370112916831915,0.1308379705504263,3.809015608199402,20.0,0.10527,0.0,0.13857,0.35975,0.10587,1.22002,0.84992,0.29034,0.1083,0.0,6.9573,2.9270615834090337,S4-Ventilador 76 M1,Motor: Activo en buen estado.  Ventilador: Se mantienen los síntomas de una posible degradación de los rodamientos del ventilador.,2.0,1,1,0.08967558210955384,0.6605874131854146,V,True
2020-10-13 16:14:08.301,S4-76-M1,V-LA-V,9.1216,3.238761689149642,4.6307,0.9237482041275676,1.0717041868750912,0.0323869551572233,4.3208751600591775,14.0,0.15556,0.20821,0.08762,0.74099,0.1293,0.5805400000000001,0.28346,0.0,0.0,0.0,4.2617,2.001072464822744,S4-Ventilador 76 M1,Motor: Activo en buen estado.  Ventilador: Se mantienen los síntomas de una posible degradación de los rodamientos del ventilador.,2.0,1,1,0.12767874537307633,0.6727840728002199,V,True
