,machine,point,prediction,score,filename
0,S2-M18,M-LA-A,class_a,70.18123865127563,20210406122021414_S2-M18_M-LA-A.png
1,S2-M12,V-LOA-H,class_a,51.53718590736389,20210406121330164_S2-M12_V-LOA-H.png
2,S2-M12,M-LA-H,class_a,82.3968231678009,20210406121235404_S2-M12_M-LA-H.png
3,S2-M12,M-LA-A,class_a,77.64288783073425,20210406121256314_S2-M12_M-LA-A.png
4,S2-M12,V-LA-H,class_a,61.60159111022949,20210406121309513_S2-M12_V-LA-H.png
5,S2-M12,V-LOA-V,class_a,81.64032101631165,20210406121343204_S2-M12_V-LOA-V.png
6,S2-M12,M-LOA-V,class_a,90.88330268859863,20210406121224303_S2-M12_M-LOA-V.png
7,S2-M12,M-LOA-H,class_a,59.31486487388611,20210406121213584_S2-M12_M-LOA-H.png
8,S2-M12,V-LA-V,class_b,57.93445110321045,20210406121319004_S2-M12_V-LA-V.png
9,S2-M06,M-LOA-H,class_a,56.411582231521606,20210406120433264_S2-M06_M-LOA-H.png
10,S2-M06,V-LOA-V,class_a,74.77036714553833,20210406120624705_S2-M06_V-LOA-V.png
11,S2-M06,V-LOA-A,class_a,64.38342332839966,20210406120635173_S2-M06_V-LOA-A.png
12,S2-M06,M-LOA-V,class_a,90.62419533729553,20210406120442694_S2-M06_M-LOA-V.png
13,S2-M12,V-LOA-A,class_a,60.57365536689758,20210406121352863_S2-M12_V-LOA-A.png
14,S2-M06,V-LOA-H,class_a,74.09394979476929,20210406120612923_S2-M06_V-LOA-H.png
15,S2-M06,V-LA-V,class_a,74.72525238990784,20210406120600673_S2-M06_V-LA-V.png
16,S2-M06,V-LA-H,class_a,64.48187828063965,20210406120551654_S2-M06_V-LA-H.png
17,S2-M06,M-LA-V,class_a,82.78268575668335,20210406120518153_S2-M06_M-LA-V.png
18,S2-M29,V-LOA-V,class_b,73.08073043823242,20210406123447433_S2-M29_V-LOA-V.png
19,S2-M06,M-LA-A,class_b,67.36313104629517,20210406120527782_S2-M06_M-LA-A.png
20,S2-M06,M-LA-H,class_a,89.55553770065308,20210406120454094_S2-M06_M-LA-H.png
21,S2-M29,M-LA-H,class_a,54.72034215927124,20210406123330223_S2-M29_M-LA-H.png
22,S2-M29,M-LA-A,class_b,84.03103351593018,20210406123349794_S2-M29_M-LA-A.png
23,S2-M29,M-LOA-V,class_b,70.52975296974182,20210406123318988_S2-M29_M-LOA-V.png
24,S2-M29,V-LA-H,class_b,91.86416268348694,20210406123400854_S2-M29_V-LA-H.png
25,S2-M29,V-LOA-A,class_b,86.42708659172058,20210406123457804_S2-M29_V-LOA-A.png
26,S2-M29,M-LA-V,class_b,77.33150720596313,20210406123339894_S2-M29_M-LA-V.png
27,S2-M29,V-LA-V,class_b,94.3068265914917,20210406123427215_S2-M29_V-LA-V.png
28,S2-M29,V-LOA-H,class_b,68.98436546325684,20210406123436974_S2-M29_V-LOA-H.png
29,S2-M29,M-LOA-H,class_b,97.48537540435791,20210406123309924_S2-M29_M-LOA-H.png
30,S2-M30,M-LA-H,class_b,88.42442035675049,20210406123532694_S2-M30_M-LA-H.png
31,S2-M30,M-LA-V,class_a,62.600088119506836,20210406123556132_S2-M30_M-LA-V.png
32,S2-M30,V-LOA-H,class_b,81.76735043525696,20210406123640374_S2-M30_V-LOA-H.png
33,S2-M30,M-LA-A,class_b,93.05334091186523,20210406123606103_S2-M30_M-LA-A.png
34,S2-M30,V-LOA-A,class_b,95.21008133888245,20210406123659987_S2-M30_V-LOA-A.png
35,S2-M30,V-LA-V,class_a,76.38450264930725,20210406123628394_S2-M30_V-LA-V.png
36,S2-M30,M-LOA-V,class_b,86.51055097579956,20210406123521988_S2-M30_M-LOA-V.png
37,S2-M30,M-LOA-H,class_b,98.10822010040283,20210406123511900_S2-M30_M-LOA-H.png
38,S5-70-M2,V-LA-H,class_b,69.11807656288147,20210407113253363_S5-70-M2_V-LA-H.png
39,S2-M30,V-LA-H,class_a,52.52287983894348,20210406123618703_S2-M30_V-LA-H.png
40,S2-M30,V-LOA-V,class_b,60.10776162147522,20210406123650334_S2-M30_V-LOA-V.png
41,S5-70-M2,M-LA-H,class_a,71.505206823349,20210407113212284_S5-70-M2_M-LA-H.png
42,S5-70-M2,V-LOA-H,class_b,56.557488441467285,20210407113315734_S5-70-M2_V-LOA-H.png
43,S5-70-M2,M-LA-V,class_a,70.83069682121277,20210407113223434_S5-70-M2_M-LA-V.png
44,S5-70-M2,V-LOA-V,class_a,57.33804106712341,20210407113326824_S5-70-M2_V-LOA-V.png
45,S5-70-M2,M-LOA-V,class_b,53.957170248031616,20210407113202084_S5-70-M2_M-LOA-V.png
46,S5-70-M2,V-LOA-A,class_a,63.23087215423584,20210407113337814_S5-70-M2_V-LOA-A.png
47,S5-70-M1,V-LOA-H,class_a,58.24102759361267,20210407113111273_S5-70-M1_V-LOA-H.png
48,S5-70-M2,M-LA-A,class_a,92.25159287452698,20210407113231304_S5-70-M2_M-LA-A.png
49,S5-70-M1,M-LA-V,class_a,58.12143683433533,20210407113032545_S5-70-M1_M-LA-V.png
50,S5-70-M2,V-LA-V,class_b,72.33813405036926,20210407113301855_S5-70-M2_V-LA-V.png
51,S5-70-M1,V-LA-V,class_b,59.74076986312866,20210407113059934_S5-70-M1_V-LA-V.png
52,S5-70-M1,M-LA-H,class_a,54.689741134643555,20210407113024414_S5-70-M1_M-LA-H.png
53,S5-70-M1,V-LOA-A,class_a,52.30664014816284,20210407113137124_S5-70-M1_V-LOA-A.png
54,S5-70-M1,M-LA-A,class_a,60.569995641708374,20210407113040303_S5-70-M1_M-LA-A.png
55,S5-70-M2,M-LOA-H,class_b,61.03423833847046,20210407113153693_S5-70-M2_M-LOA-H.png
56,S5-75-M2,V-LOA-A,class_b,75.10124444961548,20210407115303504_S5-75-M2_V-LOA-A.png
57,S5-70-M1,V-LOA-V,class_a,72.35822081565857,20210407113123204_S5-70-M1_V-LOA-V.png
58,S5-70-M1,V-LA-H,class_a,67.07075834274292,20210407113049744_S5-70-M1_V-LA-H.png
59,S5-75-M2,V-LOA-V,class_a,60.60401797294617,20210407115253574_S5-75-M2_V-LOA-V.png
60,S5-75-M2,M-LA-V,class_b,94.90378499031067,20210407115201464_S5-75-M2_M-LA-V.png
61,S5-75-M2,V-LA-V,class_b,58.196479082107544,20210407115231094_S5-75-M2_V-LA-V.png
62,S5-70-M1,M-LOA-V,class_b,75.71677565574646,20210407113013784_S5-70-M1_M-LOA-V.png
63,S5-75-M2,M-LOA-V,class_b,88.47725987434387,20210407115140333_S5-75-M2_M-LOA-V.png
64,S5-75-M2,V-LA-H,class_a,69.5637047290802,20210407115220786_S5-75-M2_V-LA-H.png
65,S5-75-M2,V-LOA-H,class_a,69.58083510398865,20210407115245663_S5-75-M2_V-LOA-H.png
